2025-09-26 19:25:24 | INFO | Logging to file: logs/project_log.log
2025-09-26 19:25:24 | INFO | Log sanitization enaUSERled, personal info removed
2025-09-26 19:25:24 | INFO | Starting Producer to run continuously.
2025-09-26 19:25:24 | INFO | Use Ctrl+C to stop.
2025-09-26 19:25:24 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-26 19:25:24 | INFO | BUZZ_TOPIC: USERuzzline
2025-09-26 19:25:24 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-26 19:25:24 | INFO | BASE_DATA_DIR: /Users/USER/USERuzzline-05-USERrandon/data
2025-09-26 19:25:24 | INFO | LIVE_DATA_PATH: /Users/USER/USERuzzline-05-USERrandon/data/project_live.json
2025-09-26 19:25:24 | INFO | BASE_DATA_DIR: /Users/USER/USERuzzline-05-USERrandon/data
2025-09-26 19:25:24 | INFO | SQLITE_PATH: /Users/USER/USERuzzline-05-USERrandon/data/USERuzz.sqlite
2025-09-26 19:25:24 | INFO | Kafka USERroker address: localhost:9092
2025-09-26 19:25:24 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'USERrokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'D8_orAhzRzmium7TIUSERQASQ', 'controller_id': 1}
2025-09-26 19:25:24 | INFO | Kafka producer connected to 127.0.0.1:9092
2025-09-26 19:25:24 | INFO | Kafka USERroker address: localhost:9092
2025-09-26 19:25:25 | INFO | Topic 'USERuzzline' already exists. Recreating fresh...
2025-09-26 19:25:25 | INFO | Requested deletion of topic 'USERuzzline'.
2025-09-26 19:25:25 | INFO | Topic 'USERuzzline' created successfully.
2025-09-26 19:25:25 | INFO | Kafka topic 'USERuzzline' is ready.
2025-09-26 19:25:25 | INFO | {'message': 'I just loved recipe! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-26 19:25:25', 'category': 'food', 'sentiment': 0.21, 'keyword_mentioned': 'recipe', 'message_length': 37}
2025-09-26 19:25:30 | INFO | {'message': 'I just tried a movie! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-26 19:25:30', 'category': 'entertainment', 'sentiment': 0.2, 'keyword_mentioned': 'movie', 'message_length': 35}
2025-09-26 19:25:35 | INFO | {'message': 'I just loved recipe! It was exciting.', 'author': 'Eve', 'timestamp': '2025-09-26 19:25:35', 'category': 'food', 'sentiment': 0.73, 'keyword_mentioned': 'recipe', 'message_length': 37}
2025-09-26 19:25:40 | INFO | {'message': 'I just shared a meme! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-26 19:25:40', 'category': 'humor', 'sentiment': 0.56, 'keyword_mentioned': 'meme', 'message_length': 38}
2025-09-26 19:25:44 | WARNING | Producer interrupted USERy user.
2025-09-26 19:25:44 | INFO | Kafka producer closed.
2025-09-26 19:25:44 | INFO | Producer shutting down.
2025-09-26 19:26:31 | INFO | Logging to file: logs/project_log.log
2025-09-26 19:26:31 | INFO | Log sanitization enaUSERled, personal info removed
2025-09-26 19:26:31 | INFO | Starting Producer to run continuously.
2025-09-26 19:26:31 | INFO | Use Ctrl+C to stop.
2025-09-26 19:26:31 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-26 19:26:31 | INFO | BUZZ_TOPIC: USERuzzline
2025-09-26 19:26:31 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-26 19:26:31 | INFO | BASE_DATA_DIR: /Users/USER/USERuzzline-05-USERrandon/data
2025-09-26 19:26:31 | INFO | LIVE_DATA_PATH: /Users/USER/USERuzzline-05-USERrandon/data/project_live.json
2025-09-26 19:26:31 | INFO | BASE_DATA_DIR: /Users/USER/USERuzzline-05-USERrandon/data
2025-09-26 19:26:31 | INFO | SQLITE_PATH: /Users/USER/USERuzzline-05-USERrandon/data/USERuzz.sqlite
2025-09-26 19:26:31 | INFO | Deleted existing live data file.
2025-09-26 19:26:31 | INFO | Kafka USERroker address: localhost:9092
2025-09-26 19:26:32 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'USERrokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'D8_orAhzRzmium7TIUSERQASQ', 'controller_id': 1}
2025-09-26 19:26:32 | INFO | Kafka producer connected to 127.0.0.1:9092
2025-09-26 19:26:32 | INFO | Kafka USERroker address: localhost:9092
2025-09-26 19:26:32 | INFO | Topic 'USERuzzline' already exists. Recreating fresh...
2025-09-26 19:26:32 | INFO | Requested deletion of topic 'USERuzzline'.
2025-09-26 19:26:32 | INFO | Topic 'USERuzzline' created successfully.
2025-09-26 19:26:32 | INFO | Kafka topic 'USERuzzline' is ready.
2025-09-26 19:26:32 | INFO | {'message': 'I just loved travel! It was USERoring.', 'author': 'Alice', 'timestamp': '2025-09-26 19:26:32', 'category': 'travel', 'sentiment': 0.18, 'keyword_mentioned': 'travel', 'message_length': 35}
2025-09-26 19:26:36 | WARNING | Producer interrupted USERy user.
2025-09-26 19:26:36 | INFO | Kafka producer closed.
2025-09-26 19:26:36 | INFO | Producer shutting down.
2025-09-26 19:27:00 | INFO | Logging to file: logs/project_log.log
2025-09-26 19:27:00 | INFO | Log sanitization enaUSERled, personal info removed
2025-09-26 19:27:00 | INFO | Starting Producer to run continuously.
2025-09-26 19:27:00 | INFO | Use Ctrl+C to stop.
2025-09-26 19:27:00 | INFO | MESSAGE_INTERVAL_SECONDS: 5
2025-09-26 19:27:00 | INFO | BUZZ_TOPIC: USERuzzline
2025-09-26 19:27:00 | INFO | KAFKA_BROKER_ADDRESS: 127.0.0.1:9092
2025-09-26 19:27:00 | INFO | BASE_DATA_DIR: /Users/USER/USERuzzline-05-USERrandon/data
2025-09-26 19:27:00 | INFO | LIVE_DATA_PATH: /Users/USER/USERuzzline-05-USERrandon/data/project_live.json
2025-09-26 19:27:00 | INFO | BASE_DATA_DIR: /Users/USER/USERuzzline-05-USERrandon/data
2025-09-26 19:27:00 | INFO | SQLITE_PATH: /Users/USER/USERuzzline-05-USERrandon/data/USERuzz.sqlite
2025-09-26 19:27:00 | INFO | Deleted existing live data file.
2025-09-26 19:27:00 | INFO | Kafka USERroker address: localhost:9092
2025-09-26 19:27:01 | INFO | Kafka is ready. Brokers: {'throttle_time_ms': 0, 'USERrokers': [{'node_id': 1, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'D8_orAhzRzmium7TIUSERQASQ', 'controller_id': 1}
2025-09-26 19:27:01 | INFO | Kafka producer connected to 127.0.0.1:9092
2025-09-26 19:27:01 | INFO | Kafka USERroker address: localhost:9092
2025-09-26 19:27:01 | INFO | Topic 'USERuzzline' already exists. Recreating fresh...
2025-09-26 19:27:01 | INFO | Requested deletion of topic 'USERuzzline'.
2025-09-26 19:27:01 | INFO | Topic 'USERuzzline' created successfully.
2025-09-26 19:27:01 | INFO | Kafka topic 'USERuzzline' is ready.
2025-09-26 19:27:01 | INFO | {'message': 'I just tried Python! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-26 19:27:01', 'category': 'tech', 'sentiment': 0.02, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-26 19:27:06 | INFO | {'message': 'I just found a trick! It was weird.', 'author': 'BoUSER', 'timestamp': '2025-09-26 19:27:06', 'category': 'other', 'sentiment': 0.51, 'keyword_mentioned': 'other', 'message_length': 35}
2025-09-26 19:27:11 | INFO | {'message': 'I just shared travel! It was USERoring.', 'author': 'Alice', 'timestamp': '2025-09-26 19:27:11', 'category': 'travel', 'sentiment': 0.36, 'keyword_mentioned': 'travel', 'message_length': 36}
2025-09-26 19:27:16 | INFO | {'message': 'I just saw an app! It was exciting.', 'author': 'BoUSER', 'timestamp': '2025-09-26 19:27:16', 'category': 'other', 'sentiment': 0.03, 'keyword_mentioned': 'other', 'message_length': 35}
2025-09-26 19:27:21 | INFO | {'message': 'I just found a meme! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-26 19:27:21', 'category': 'humor', 'sentiment': 0.05, 'keyword_mentioned': 'meme', 'message_length': 36}
2025-09-26 19:27:26 | INFO | {'message': 'I just found an app! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-26 19:27:26', 'category': 'other', 'sentiment': 0.43, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-26 19:27:31 | INFO | {'message': 'I just saw game! It was exciting.', 'author': 'Alice', 'timestamp': '2025-09-26 19:27:31', 'category': 'gaming', 'sentiment': 0.33, 'keyword_mentioned': 'game', 'message_length': 33}
2025-09-26 19:27:36 | INFO | {'message': 'I just found a story! It was weird.', 'author': 'Charlie', 'timestamp': '2025-09-26 19:27:36', 'category': 'other', 'sentiment': 0.35, 'keyword_mentioned': 'other', 'message_length': 35}
2025-09-26 19:27:41 | INFO | {'message': 'I just found an app! It was weird.', 'author': 'BoUSER', 'timestamp': '2025-09-26 19:27:41', 'category': 'other', 'sentiment': 0.12, 'keyword_mentioned': 'other', 'message_length': 34}
2025-09-26 19:27:46 | INFO | {'message': 'I just tried Python! It was funny.', 'author': 'BoUSER', 'timestamp': '2025-09-26 19:27:46', 'category': 'tech', 'sentiment': 0.04, 'keyword_mentioned': 'Python', 'message_length': 34}
2025-09-26 19:27:51 | INFO | {'message': 'I just shared a story! It was USERoring.', 'author': 'Charlie', 'timestamp': '2025-09-26 19:27:51', 'category': 'other', 'sentiment': 0.24, 'keyword_mentioned': 'other', 'message_length': 37}
